,pf,row,visible,x,y,z,labeled,x_proj,y_proj,x_proj_rotated,y_proj_rotated,x_pixel,y_pixel
5220,0.0,348.0,1.0,7.944321141266097,10.353272989950208,2780.7374622268317,True,2780.7374622268317,7.944321141266097,-691.8116105128826,-2693.3177758351662,48,69
5221,1.0,348.0,1.0,11.45002783926395,6.260939424725381,2781.818462226832,False,2781.818462226832,11.45002783926395,-688.6905620747306,-2695.245882963698,48,69
5222,2.0,348.0,1.0,13.003464638069653,1.1010937319193375,2782.8994622268315,False,2782.8994622268315,13.003464638069653,-687.4590058509331,-2696.6828924123483,48,69
5223,3.0,348.0,1.0,12.339765115943514,-4.24649230345983,2783.9804622268316,False,2783.9804622268316,12.339765115943514,-688.3732911515563,-2697.5621764647085,48,69
5224,4.0,348.0,1.0,9.572092368848654,-8.870036509633396,2785.0614622268317,False,2785.0614622268317,9.572092368848654,-691.3238937817833,-2697.9122015402518,48,69
5225,5.0,348.0,1.0,5.172344305752522,-11.981208385749303,2786.142462226832,False,2786.142462226832,5.172344305752522,-695.8540903012059,-2697.8516745699885,48,69
5226,6.0,348.0,1.0,-0.10930659968881254,-13.049542216770076,2787.2234622268315,False,2787.2234622268315,-0.10930659968881254,-701.2378309720381,-2697.5693030484476,48,69
5227,7.0,348.0,1.0,-5.372320346570254,-11.892883338107172,2788.3044622268317,False,2788.3044622268317,-5.372320346570254,-706.6035337854966,-2697.2916197441123,48,69
5228,8.0,348.0,1.0,-9.71933463487738,-8.70844614470762,2789.385462226832,False,2789.385462226832,-9.71933463487738,-711.0826922507349,-2697.244358067987,48,69
5229,9.0,348.0,1.0,-12.409168284480785,-4.039188345130265,2790.4664622268315,False,2790.4664622268315,-12.409168284480785,-713.9579587971839,-2697.613963735434,48,69
5230,10.0,348.0,1.0,-12.98319522549902,1.3187652317904985,2791.5474622268316,True,2791.5474622268316,-12.98319522549902,-714.7854550509062,-2698.515805117879,48,69
5231,11.0,348.0,1.0,-11.34354185150884,6.451864712086527,2792.6284622268317,False,2792.6284622268317,-11.34354185150884,-713.4704546539302,-2699.9745025309126,48,69
5232,12.0,348.0,1.0,-7.7697748126604695,10.484898633775485,2793.709462226832,False,2793.709462226832,-7.7697748126604695,-710.2835344404687,-2701.9197303841443,48,69
